seed,metric,real_multi_llm,mock_multi_agent,delta_real_minus_mock,real_wins
9400,trace_variant_distance,0.9000000000000001,0.7000000000000001,0.20000000000000007,False
9400,activity_distribution_distance,0.07631578947368423,0.06081081081081084,0.015504978662873384,False
9400,resource_distribution_distance,0.18035087719298246,0.13620199146514936,0.0441488857278331,False
9400,mean_cycle_time_relative_error,0.023859838744488125,0.48528305941259864,-0.46142322066811053,True
9400,proposal_execution_rate,0.96,0.972972972972973,-0.012972972972973063,False
9400,bid_disagreement_rate,0.24,0.13513513513513514,0.10486486486486485,False
9400,generated_resource_entropy_normalized,0.9836444088026804,0.9904743088349021,-0.006829900032221614,False
9500,trace_variant_distance,0.9,0.5,0.4,False
9500,activity_distribution_distance,0.11842105263157894,0.1819419237749546,-0.06352087114337567,True
9500,resource_distribution_distance,0.17105263157894732,0.16515426497277677,0.005898366606170546,False
9500,mean_cycle_time_relative_error,0.259648258702709,0.6383877452273721,-0.37873948652466305,True
9500,proposal_execution_rate,1.0,0.9655172413793104,0.03448275862068961,False
9500,bid_disagreement_rate,0.2236842105263158,0.06896551724137931,0.15471869328493648,False
9500,generated_resource_entropy_normalized,0.9855118425072488,0.9929270235756351,-0.007415181068386345,False
9600,trace_variant_distance,0.7999999999999999,1.0,-0.20000000000000007,True
9600,activity_distribution_distance,0.10716550412175016,0.1921052631578947,-0.08493975903614454,True
9600,resource_distribution_distance,0.1277742549143944,0.19210526315789475,-0.06433100824350035,True
9600,mean_cycle_time_relative_error,1.0272547849580371,0.8434036673342937,0.1838511176237434,False
9600,proposal_execution_rate,0.9879518072289156,0.9875,0.00045180722891557945,False
9600,bid_disagreement_rate,0.21686746987951808,0.0625,0.15436746987951808,False
9600,generated_resource_entropy_normalized,0.9914972879422872,0.980847436062388,0.010649851879899197,False
