metric,n,mean,sample_sd,minimum,maximum
trace_variant_distance,3,0.8666666666666667,0.05773502691896266,0.7999999999999999,0.9000000000000001
activity_distribution_distance,3,0.10063411540900445,0.021799256301227986,0.07631578947368423,0.11842105263157894
resource_distribution_distance,3,0.15972592122877471,0.028058796803745182,0.1277742549143944,0.18035087719298246
mean_cycle_time_relative_error,3,0.43692096080174475,0.5246613790854466,0.023859838744488125,1.0272547849580371
allocation_decisions,3,82.0,5.196152422706632,79.0,88.0
executed_decisions,3,78.0,4.358898943540674,75.0,83.0
agent_bids,3,148.33333333333334,8.082903768654761,141.0,157.0
valid_bid_rate,3,1.0,0.0,1.0,1.0
agent_acceptance_rate,3,1.0,0.0,1.0,1.0
proposal_execution_rate,3,0.9826506024096385,0.020520162752813285,0.96,1.0
bid_disagreement_rate,3,0.22685056013527793,0.011886875738745731,0.21686746987951808,0.24
policy_fallbacks,3,0.0,0.0,0.0,0.0
agents_with_memory,3,18.666666666666668,0.5773502691896257,18.0,19.0
bid_total_tokens,3,52380.333333333336,3223.7776494872182,50314.0,56095.0
bid_total_latency_seconds,3,30.968970215666435,5.559726922118147,26.48189441999959,37.188709385000195
generated_resource_count,3,18.666666666666668,0.5773502691896257,18.0,19.0
generated_resource_entropy_normalized,3,0.9868845130840721,0.004102450009405984,0.9836444088026804,0.9914972879422872
