metric,mode,mean,sample_sd,within_seed_wins
resource_distribution_distance,central_baseline,0.0797160809,0.0069094297,0
resource_distribution_distance,agent_profile,0.0720004232,0.0140336740,2
resource_distribution_distance,llm_agent_proxy,0.0738302567,0.0109292786,1
resource_distribution_distance,llm_agent_real,0.5826894390,0.0078206352,0
mean_cycle_time_relative_error,central_baseline,0.6942405841,0.3461527720,0
mean_cycle_time_relative_error,agent_profile,0.4083735056,0.2756033030,1
mean_cycle_time_relative_error,llm_agent_proxy,0.4227439207,0.1416490076,1
mean_cycle_time_relative_error,llm_agent_real,0.4654046700,0.2091254481,1
absolute_emd,central_baseline,779.4091039383,98.4318719824,2
absolute_emd,agent_profile,781.0070460660,99.4365250851,0
absolute_emd,llm_agent_proxy,781.0002814253,98.4646513126,1
absolute_emd,llm_agent_real,780.2279314415,97.5456876069,0
workforce_emd,central_baseline,9.2659958134,0.2146295062,0
workforce_emd,agent_profile,9.5106374869,0.1837309677,0
workforce_emd,llm_agent_proxy,9.0581579296,0.1844650576,1
workforce_emd,llm_agent_real,8.7879538354,0.5492201643,2
relative_emd,central_baseline,4.0715081018,1.8198310416,0
relative_emd,agent_profile,2.6439682005,1.1259114998,1
relative_emd,llm_agent_proxy,2.6158864405,0.6447066394,1
relative_emd,llm_agent_real,3.4446365625,1.9341729323,1
cycle_time_wass,central_baseline,87.3466666667,41.5216285005,0
cycle_time_wass,agent_profile,53.7700000000,24.5928180573,1
cycle_time_wass,llm_agent_proxy,55.0266666667,15.5471615845,1
cycle_time_wass,llm_agent_real,59.1766666667,25.6529887797,1
